Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2009 12:00:00 AM,Truck Containers Empty,128497,144597
US-Canada Border,03/01/2009 12:00:00 AM,Truck Containers Empty,89544,70528
US-Canada Border,03/01/2009 12:00:00 AM,Rail Containers Full,83360,97434
US-Canada Border,03/01/2009 12:00:00 AM,Rail Containers Empty,49204,34033
US-Mexico Border,03/01/2009 12:00:00 AM,Rail Containers Empty,29260,26789
US-Canada Border,03/01/2009 12:00:00 AM,Pedestrians,22712,54786
US-Mexico Border,03/01/2009 12:00:00 AM,Rail Containers Full,20976,22341
US-Mexico Border,03/01/2009 12:00:00 AM,Buses,20050,21826
US-Canada Border,03/01/2009 12:00:00 AM,Train Passengers,10137,20070
US-Canada Border,03/01/2009 12:00:00 AM,Buses,7841,13238
US-Canada Border,03/01/2009 12:00:00 AM,Trains,2013,2757
US-Mexico Border,03/01/2009 12:00:00 AM,Trains,708,718
US-Mexico Border,03/01/2009 12:00:00 AM,Train Passengers,290,1378
US-Mexico Border,02/01/2009 12:00:00 AM,Personal Vehicle Passengers,10571539,16472978
US-Mexico Border,02/01/2009 12:00:00 AM,Personal Vehicles,5435201,7090716
US-Mexico Border,02/01/2009 12:00:00 AM,Pedestrians,3270412,3862181
US-Canada Border,02/01/2009 12:00:00 AM,Personal Vehicle Passengers,3212259,6212845
US-Canada Border,02/01/2009 12:00:00 AM,Personal Vehicles,1676466,2786899
US-Canada Border,02/01/2009 12:00:00 AM,Trucks,384478,540916
US-Mexico Border,02/01/2009 12:00:00 AM,Trucks,328561,361652
US-Canada Border,02/01/2009 12:00:00 AM,Truck Containers Full,296835,401463
US-Mexico Border,02/01/2009 12:00:00 AM,Truck Containers Full,209249,208794
US-Mexico Border,02/01/2009 12:00:00 AM,Bus Passengers,168181,274266
US-Canada Border,02/01/2009 12:00:00 AM,Bus Passengers,149370,332069
US-Mexico Border,02/01/2009 12:00:00 AM,Truck Containers Empty,121745,144742
US-Canada Border,02/01/2009 12:00:00 AM,Truck Containers Empty,80508,70464
US-Canada Border,02/01/2009 12:00:00 AM,Rail Containers Full,77920,97558
US-Canada Border,02/01/2009 12:00:00 AM,Rail Containers Empty,44115,33968
US-Mexico Border,02/01/2009 12:00:00 AM,Rail Containers Empty,25526,26797
US-Mexico Border,02/01/2009 12:00:00 AM,Buses,18185,21849
US-Mexico Border,02/01/2009 12:00:00 AM,Rail Containers Full,16863,22375
US-Canada Border,02/01/2009 12:00:00 AM,Pedestrians,14992,55039
US-Canada Border,02/01/2009 12:00:00 AM,Train Passengers,8667,20142
US-Canada Border,02/01/2009 12:00:00 AM,Buses,7018,13277
US-Canada Border,02/01/2009 12:00:00 AM,Trains,1931,2762
US-Mexico Border,02/01/2009 12:00:00 AM,Trains,615,718
US-Mexico Border,02/01/2009 12:00:00 AM,Train Passengers,524,1383
US-Mexico Border,01/01/2009 12:00:00 AM,Personal Vehicle Passengers,12444929,16498798
US-Mexico Border,01/01/2009 12:00:00 AM,Personal Vehicles,6066605,7097280
US-Mexico Border,01/01/2009 12:00:00 AM,Pedestrians,3581976,3863977
US-Canada Border,01/01/2009 12:00:00 AM,Personal Vehicle Passengers,3309541,6231455
US-Canada Border,01/01/2009 12:00:00 AM,Personal Vehicles,1719008,2793744
US-Canada Border,01/01/2009 12:00:00 AM,Trucks,385057,541915
US-Mexico Border,01/01/2009 12:00:00 AM,Trucks,338857,361798
US-Canada Border,01/01/2009 12:00:00 AM,Truck Containers Full,305973,402075
US-Mexico Border,01/01/2009 12:00:00 AM,Bus Passengers,243815,274461
US-Mexico Border,01/01/2009 12:00:00 AM,Truck Containers Full,208425,208796
US-Canada Border,01/01/2009 12:00:00 AM,Bus Passengers,141447,333290
US-Mexico Border,01/01/2009 12:00:00 AM,Truck Containers Empty,126646,144858
US-Canada Border,01/01/2009 12:00:00 AM,Rail Containers Full,82588,97653
US-Canada Border,01/01/2009 12:00:00 AM,Truck Containers Empty,78616,70411
US-Canada Border,01/01/2009 12:00:00 AM,Rail Containers Empty,42263,33914
US-Mexico Border,01/01/2009 12:00:00 AM,Rail Containers Empty,26407,26799
US-Mexico Border,01/01/2009 12:00:00 AM,Buses,20538,21857
US-Mexico Border,01/01/2009 12:00:00 AM,Rail Containers Full,15209,22420
US-Canada Border,01/01/2009 12:00:00 AM,Pedestrians,10938,55321
US-Canada Border,01/01/2009 12:00:00 AM,Train Passengers,9560,20209
US-Canada Border,01/01/2009 12:00:00 AM,Buses,7502,13314
US-Canada Border,01/01/2009 12:00:00 AM,Trains,1959,2767
US-Mexico Border,01/01/2009 12:00:00 AM,Trains,614,718
US-Mexico Border,01/01/2009 12:00:00 AM,Train Passengers,468,1388
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,16520278
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,7100456
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,3864144
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,6248937
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,2799939
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,542940
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,361995
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,402811
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,274591
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,208854
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,334391
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,144956
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,97754
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,70434
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,33891
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,26757
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,22406
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,21857
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,55566
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,20287
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,13351
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,2773
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,1385
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,717
US-Mexico Border,11/01/2008 12:00:00 AM,Personal Vehicle Passengers,12626745,16545560
US-Mexico Border,11/01/2008 12:00:00 AM,Personal Vehicles,6355731,7105291
US-Canada Border,11/01/2008 12:00:00 AM,Personal Vehicle Passengers,3923765,6264035
US-Mexico Border,11/01/2008 12:00:00 AM,Pedestrians,3542162,3866234
US-Canada Border,11/01/2008 12:00:00 AM,Personal Vehicles,2011884,2805056
US-Canada Border,11/01/2008 12:00:00 AM,Trucks,436177,543633
US-Mexico Border,11/01/2008 12:00:00 AM,Trucks,351074,362065
US-Canada Border,11/01/2008 12:00:00 AM,Truck Containers Full,331339,403275
US-Canada Border,11/01/2008 12:00:00 AM,Bus Passengers,230813,335063
US-Mexico Border,11/01/2008 12:00:00 AM,Bus Passengers,221792,274933
US-Mexico Border,11/01/2008 12:00:00 AM,Truck Containers Full,211571,208836
US-Mexico Border,11/01/2008 12:00:00 AM,Truck Containers Empty,138556,144997
US-Canada Border,11/01/2008 12:00:00 AM,Rail Containers Full,104462,97710
US-Canada Border,11/01/2008 12:00:00 AM,Truck Containers Empty,73113,70416
US-Canada Border,11/01/2008 12:00:00 AM,Rail Containers Empty,49038,33792
US-Mexico Border,11/01/2008 12:00:00 AM,Rail Containers Empty,39512,26674
US-Mexico Border,11/01/2008 12:00:00 AM,Rail Containers Full,29881,22357
US-Canada Border,11/01/2008 12:00:00 AM,Pedestrians,23214,55776
US-Mexico Border,11/01/2008 12:00:00 AM,Buses,20325,21866
US-Canada Border,11/01/2008 12:00:00 AM,Train Passengers,10358,20351
US-Canada Border,11/01/2008 12:00:00 AM,Buses,8631,13381
US-Canada Border,11/01/2008 12:00:00 AM,Trains,2409,2775
US-Mexico Border,11/01/2008 12:00:00 AM,Train Passengers,2202,1379
US-Mexico Border,11/01/2008 12:00:00 AM,Trains,877,715
US-Mexico Border,10/01/2008 12:00:00 AM,Personal Vehicle Passengers,12937575,16569141
US-Mexico Border,10/01/2008 12:00:00 AM,Personal Vehicles,6577359,7108741
US-Canada Border,10/01/2008 12:00:00 AM,Personal Vehicle Passengers,4575735,6275069
US-Mexico Border,10/01/2008 12:00:00 AM,Pedestrians,3610576,3867904
US-Canada Border,10/01/2008 12:00:00 AM,Personal Vehicles,2347854,2808044
US-Canada Border,10/01/2008 12:00:00 AM,Trucks,503870,543892
US-Mexico Border,10/01/2008 12:00:00 AM,Trucks,423168,361665
US-Canada Border,10/01/2008 12:00:00 AM,Truck Containers Full,396401,403319
US-Canada Border,10/01/2008 12:00:00 AM,Bus Passengers,302407,335276
US-Mexico Border,10/01/2008 12:00:00 AM,Truck Containers Full,255488,208531
US-Mexico Border,10/01/2008 12:00:00 AM,Bus Passengers,250449,275093
US-Mexico Border,10/01/2008 12:00:00 AM,Truck Containers Empty,167491,144849
US-Canada Border,10/01/2008 12:00:00 AM,Rail Containers Full,112899,97610
US-Canada Border,10/01/2008 12:00:00 AM,Truck Containers Empty,96985,70242
US-Canada Border,10/01/2008 12:00:00 AM,Rail Containers Empty,54761,33654
US-Canada Border,10/01/2008 12:00:00 AM,Pedestrians,52664,55796
US-Mexico Border,10/01/2008 12:00:00 AM,Rail Containers Empty,39351,26591
US-Mexico Border,10/01/2008 12:00:00 AM,Rail Containers Full,31321,22298
US-Mexico Border,10/01/2008 12:00:00 AM,Buses,21007,21871
US-Canada Border,10/01/2008 12:00:00 AM,Train Passengers,12985,20399
US-Canada Border,10/01/2008 12:00:00 AM,Buses,10426,13400
US-Canada Border,10/01/2008 12:00:00 AM,Trains,2591,2776
US-Mexico Border,10/01/2008 12:00:00 AM,Train Passengers,2366,1372
US-Mexico Border,10/01/2008 12:00:00 AM,Trains,900,713
US-Mexico Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,12943742,16592992
US-Mexico Border,09/01/2008 12:00:00 AM,Personal Vehicles,6485225,7112843
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,4781150,6284897
US-Mexico Border,09/01/2008 12:00:00 AM,Pedestrians,3570146,3869862
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicles,2442637,2810447
US-Canada Border,09/01/2008 12:00:00 AM,Trucks,511697,544103
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Full,414858,403243
US-Mexico Border,09/01/2008 12:00:00 AM,Trucks,394948,361446
US-Canada Border,09/01/2008 12:00:00 AM,Bus Passengers,307375,335459
US-Mexico Border,09/01/2008 12:00:00 AM,Truck Containers Full,234084,208362
US-Mexico Border,09/01/2008 12:00:00 AM,Bus Passengers,234079,275362
US-Mexico Border,09/01/2008 12:00:00 AM,Truck Containers Empty,161436,144739
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Full,107759,97543
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Empty,95117,70078
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Empty,50700,33541
US-Canada Border,09/01/2008 12:00:00 AM,Pedestrians,35038,55932
US-Mexico Border,09/01/2008 12:00:00 AM,Rail Containers Empty,32625,26551
US-Mexico Border,09/01/2008 12:00:00 AM,Rail Containers Full,25580,22276
US-Canada Border,09/01/2008 12:00:00 AM,Train Passengers,23898,20375
US-Mexico Border,09/01/2008 12:00:00 AM,Buses,20264,21881
US-Canada Border,09/01/2008 12:00:00 AM,Buses,11909,13409
US-Canada Border,09/01/2008 12:00:00 AM,Trains,2405,2778
US-Mexico Border,09/01/2008 12:00:00 AM,Train Passengers,1693,1369
US-Mexico Border,09/01/2008 12:00:00 AM,Trains,798,712
US-Mexico Border,08/01/2008 12:00:00 AM,Personal Vehicle Passengers,13750931,16611813
US-Canada Border,08/01/2008 12:00:00 AM,Personal Vehicle Passengers,7224613,6278673
US-Mexico Border,08/01/2008 12:00:00 AM,Personal Vehicles,6655579,7115871
US-Mexico Border,08/01/2008 12:00:00 AM,Pedestrians,3801010,3870317
US-Canada Border,08/01/2008 12:00:00 AM,Personal Vehicles,3330187,2807005
US-Canada Border,08/01/2008 12:00:00 AM,Trucks,486457,544484
US-Mexico Border,08/01/2008 12:00:00 AM,Trucks,408367,361135
US-Canada Border,08/01/2008 12:00:00 AM,Truck Containers Full,385486,403360
US-Canada Border,08/01/2008 12:00:00 AM,Bus Passengers,365139,335262
US-Mexico Border,08/01/2008 12:00:00 AM,Bus Passengers,338034,274946
US-Mexico Border,08/01/2008 12:00:00 AM,Truck Containers Full,241384,208143
US-Mexico Border,08/01/2008 12:00:00 AM,Truck Containers Empty,165997,144598
US-Canada Border,08/01/2008 12:00:00 AM,Rail Containers Full,110143,97459
US-Canada Border,08/01/2008 12:00:00 AM,Truck Containers Empty,93785,69921
US-Canada Border,08/01/2008 12:00:00 AM,Pedestrians,89240,55711
US-Canada Border,08/01/2008 12:00:00 AM,Rail Containers Empty,47296,33449
US-Canada Border,08/01/2008 12:00:00 AM,Train Passengers,38804,20252
US-Mexico Border,08/01/2008 12:00:00 AM,Rail Containers Empty,36677,26483
US-Mexico Border,08/01/2008 12:00:00 AM,Rail Containers Full,29577,22227
US-Mexico Border,08/01/2008 12:00:00 AM,Buses,23442,21870
US-Canada Border,08/01/2008 12:00:00 AM,Buses,13910,13405
US-Canada Border,08/01/2008 12:00:00 AM,Trains,2641,2778
US-Mexico Border,08/01/2008 12:00:00 AM,Train Passengers,1778,1366
US-Mexico Border,08/01/2008 12:00:00 AM,Trains,863,710
US-Mexico Border,07/01/2008 12:00:00 AM,Personal Vehicle Passengers,14026265,16629049
US-Mexico Border,07/01/2008 12:00:00 AM,Personal Vehicles,6666667,7118865
US-Canada Border,07/01/2008 12:00:00 AM,Personal Vehicle Passengers,6651473,6276187
US-Mexico Border,07/01/2008 12:00:00 AM,Pedestrians,3426318,3873276
US-Canada Border,07/01/2008 12:00:00 AM,Personal Vehicles,3117543,2804934
US-Canada Border,07/01/2008 12:00:00 AM,Trucks,493902,544821
US-Mexico Border,07/01/2008 12:00:00 AM,Trucks,421204,360734
US-Canada Border,07/01/2008 12:00:00 AM,Truck Containers Full,392079,403435
US-Mexico Border,07/01/2008 12:00:00 AM,Bus Passengers,383342,274223
US-Canada Border,07/01/2008 12:00:00 AM,Bus Passengers,363110,335076
US-Mexico Border,07/01/2008 12:00:00 AM,Truck Containers Full,248127,207876
US-Mexico Border,07/01/2008 12:00:00 AM,Truck Containers Empty,172252,144413
US-Canada Border,07/01/2008 12:00:00 AM,Rail Containers Full,111238,97367
US-Canada Border,07/01/2008 12:00:00 AM,Truck Containers Empty,95306,69751
US-Canada Border,07/01/2008 12:00:00 AM,Pedestrians,81425,55539
US-Canada Border,07/01/2008 12:00:00 AM,Rail Containers Empty,49596,33341
US-Canada Border,07/01/2008 12:00:00 AM,Train Passengers,40106,20119
US-Mexico Border,07/01/2008 12:00:00 AM,Rail Containers Empty,34440,26429
US-Mexico Border,07/01/2008 12:00:00 AM,Buses,24301,21853
US-Mexico Border,07/01/2008 12:00:00 AM,Rail Containers Full,23610,22217
US-Canada Border,07/01/2008 12:00:00 AM,Buses,13814,13402
US-Canada Border,07/01/2008 12:00:00 AM,Trains,2618,2779
US-Mexico Border,07/01/2008 12:00:00 AM,Train Passengers,1679,1363
US-Mexico Border,07/01/2008 12:00:00 AM,Trains,818,709
US-Mexico Border,06/01/2008 12:00:00 AM,Personal Vehicle Passengers,13058141,16653014
US-Mexico Border,06/01/2008 12:00:00 AM,Personal Vehicles,6505502,7122981
US-Canada Border,06/01/2008 12:00:00 AM,Personal Vehicle Passengers,5228224,6283220
US-Mexico Border,06/01/2008 12:00:00 AM,Pedestrians,3589794,3875178
US-Canada Border,06/01/2008 12:00:00 AM,Personal Vehicles,2670146,2805838
US-Canada Border,06/01/2008 12:00:00 AM,Trucks,518059,545000
US-Mexico Border,06/01/2008 12:00:00 AM,Trucks,425939,360296
US-Canada Border,06/01/2008 12:00:00 AM,Truck Containers Full,420439,403320
US-Canada Border,06/01/2008 12:00:00 AM,Bus Passengers,346933,334996
US-Mexico Border,06/01/2008 12:00:00 AM,Bus Passengers,265628,274280
US-Mexico Border,06/01/2008 12:00:00 AM,Truck Containers Full,261487,207516
US-Mexico Border,06/01/2008 12:00:00 AM,Truck Containers Empty,162605,144290
US-Canada Border,06/01/2008 12:00:00 AM,Rail Containers Full,104171,97321
US-Canada Border,06/01/2008 12:00:00 AM,Truck Containers Empty,94830,69582
US-Canada Border,06/01/2008 12:00:00 AM,Pedestrians,55667,55538
US-Canada Border,06/01/2008 12:00:00 AM,Rail Containers Empty,47578,33245
US-Mexico Border,06/01/2008 12:00:00 AM,Rail Containers Empty,35912,26365
US-Canada Border,06/01/2008 12:00:00 AM,Train Passengers,34564,20022
US-Mexico Border,06/01/2008 12:00:00 AM,Rail Containers Full,29303,22169
US-Mexico Border,06/01/2008 12:00:00 AM,Buses,23424,21842
US-Canada Border,06/01/2008 12:00:00 AM,Buses,13811,13399
US-Canada Border,06/01/2008 12:00:00 AM,Trains,2556,2780
US-Mexico Border,06/01/2008 12:00:00 AM,Train Passengers,1947,1359
US-Mexico Border,06/01/2008 12:00:00 AM,Trains,840,708
US-Mexico Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,13372873,16675177
US-Mexico Border,05/01/2008 12:00:00 AM,Personal Vehicles,6697505,7125855
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,5216129,6290430
US-Mexico Border,05/01/2008 12:00:00 AM,Pedestrians,3884000,3875118
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicles,2560128,2807498
US-Canada Border,05/01/2008 12:00:00 AM,Trucks,516173,545194
US-Mexico Border,05/01/2008 12:00:00 AM,Trucks,434920,359791
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Full,415365,403238
US-Canada Border,05/01/2008 12:00:00 AM,Bus Passengers,355655,334856
US-Mexico Border,05/01/2008 12:00:00 AM,Bus Passengers,324361,273941
US-Mexico Border,05/01/2008 12:00:00 AM,Truck Containers Full,274857,207060
US-Mexico Border,05/01/2008 12:00:00 AM,Truck Containers Empty,155709,144212
US-Canada Border,05/01/2008 12:00:00 AM,Rail Containers Full,117068,97187
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Empty,94066,69416
US-Canada Border,05/01/2008 12:00:00 AM,Rail Containers Empty,53272,33109
US-Canada Border,05/01/2008 12:00:00 AM,Pedestrians,47220,55594
US-Mexico Border,05/01/2008 12:00:00 AM,Rail Containers Empty,40163,26271
US-Mexico Border,05/01/2008 12:00:00 AM,Rail Containers Full,28890,22123
US-Mexico Border,05/01/2008 12:00:00 AM,Buses,23271,21832
US-Canada Border,05/01/2008 12:00:00 AM,Train Passengers,22373,20006
US-Canada Border,05/01/2008 12:00:00 AM,Buses,12775,13403
US-Canada Border,05/01/2008 12:00:00 AM,Trains,2702,2780
US-Mexico Border,05/01/2008 12:00:00 AM,Train Passengers,1278,1359
US-Mexico Border,05/01/2008 12:00:00 AM,Trains,901,706
US-Mexico Border,04/01/2008 12:00:00 AM,Personal Vehicle Passengers,12720707,16702078
US-Mexico Border,04/01/2008 12:00:00 AM,Personal Vehicles,6495681,7130141
US-Canada Border,04/01/2008 12:00:00 AM,Personal Vehicle Passengers,4239459,6304382
US-Mexico Border,04/01/2008 12:00:00 AM,Pedestrians,3717019,3876193
US-Canada Border,04/01/2008 12:00:00 AM,Personal Vehicles,2208486,2811572
US-Canada Border,04/01/2008 12:00:00 AM,Trucks,530006,545297
US-Mexico Border,04/01/2008 12:00:00 AM,Trucks,445437,359208
US-Canada Border,04/01/2008 12:00:00 AM,Truck Containers Full,425896,403083
US-Mexico Border,04/01/2008 12:00:00 AM,Bus Passengers,297793,273778
US-Mexico Border,04/01/2008 12:00:00 AM,Truck Containers Full,282651,206545
US-Canada Border,04/01/2008 12:00:00 AM,Bus Passengers,263155,335343
US-Mexico Border,04/01/2008 12:00:00 AM,Truck Containers Empty,163629,144079
US-Canada Border,04/01/2008 12:00:00 AM,Rail Containers Full,122825,97012
US-Canada Border,04/01/2008 12:00:00 AM,Truck Containers Empty,94474,69245
US-Canada Border,04/01/2008 12:00:00 AM,Rail Containers Empty,55307,32957
US-Mexico Border,04/01/2008 12:00:00 AM,Rail Containers Empty,40301,26175
US-Canada Border,04/01/2008 12:00:00 AM,Pedestrians,33454,55744
US-Mexico Border,04/01/2008 12:00:00 AM,Rail Containers Full,29475,22072
US-Mexico Border,04/01/2008 12:00:00 AM,Buses,22538,21827
US-Canada Border,04/01/2008 12:00:00 AM,Train Passengers,12710,20055
US-Canada Border,04/01/2008 12:00:00 AM,Buses,9542,13429
US-Canada Border,04/01/2008 12:00:00 AM,Trains,2689,2780
US-Mexico Border,04/01/2008 12:00:00 AM,Train Passengers,2561,1350
US-Mexico Border,04/01/2008 12:00:00 AM,Trains,958,704
US-Mexico Border,03/01/2008 12:00:00 AM,Personal Vehicle Passengers,14209226,16719152
US-Mexico Border,03/01/2008 12:00:00 AM,Personal Vehicles,6894357,7131755
US-Canada Border,03/01/2008 12:00:00 AM,Personal Vehicle Passengers,4602875,6316036
US-Mexico Border,03/01/2008 12:00:00 AM,Pedestrians,4101431,3874650
US-Canada Border,03/01/2008 12:00:00 AM,Personal Vehicles,2243980,2815459
US-Canada Border,03/01/2008 12:00:00 AM,Trucks,507685,545554
US-Canada Border,03/01/2008 12:00:00 AM,Truck Containers Full,412177,403020
US-Mexico Border,03/01/2008 12:00:00 AM,Trucks,407802,358875
US-Mexico Border,03/01/2008 12:00:00 AM,Bus Passengers,313229,273507
US-Mexico Border,03/01/2008 12:00:00 AM,Truck Containers Full,258155,206191
US-Canada Border,03/01/2008 12:00:00 AM,Bus Passengers,244614,335964
US-Mexico Border,03/01/2008 12:00:00 AM,Truck Containers Empty,145937,144066
US-Canada Border,03/01/2008 12:00:00 AM,Rail Containers Full,119579,96857
US-Canada Border,03/01/2008 12:00:00 AM,Truck Containers Empty,93350,69079
US-Canada Border,03/01/2008 12:00:00 AM,Rail Containers Empty,48494,32850
US-Mexico Border,03/01/2008 12:00:00 AM,Rail Containers Empty,37593,26096
US-Mexico Border,03/01/2008 12:00:00 AM,Rail Containers Full,29397,22021
US-Canada Border,03/01/2008 12:00:00 AM,Pedestrians,23532,55964
US-Mexico Border,03/01/2008 12:00:00 AM,Buses,23070,21818
US-Canada Border,03/01/2008 12:00:00 AM,Train Passengers,12583,20106
US-Canada Border,03/01/2008 12:00:00 AM,Buses,8946,13459
US-Canada Border,03/01/2008 12:00:00 AM,Trains,2597,2781
US-Mexico Border,03/01/2008 12:00:00 AM,Train Passengers,1545,1348
US-Mexico Border,03/01/2008 12:00:00 AM,Trains,872,702
US-Mexico Border,02/01/2008 12:00:00 AM,Personal Vehicle Passengers,12146198,16750689
US-Mexico Border,02/01/2008 12:00:00 AM,Personal Vehicles,6304928,7137457
US-Mexico Border,02/01/2008 12:00:00 AM,Pedestrians,3884769,3874580
US-Canada Border,02/01/2008 12:00:00 AM,Personal Vehicle Passengers,3604838,6334733
US-Canada Border,02/01/2008 12:00:00 AM,Personal Vehicles,1920308,2821632
US-Canada Border,02/01/2008 12:00:00 AM,Trucks,494703,545904
US-Mexico Border,02/01/2008 12:00:00 AM,Trucks,410154,358521
US-Canada Border,02/01/2008 12:00:00 AM,Truck Containers Full,399168,403046
US-Mexico Border,02/01/2008 12:00:00 AM,Bus Passengers,269605,273533
US-Mexico Border,02/01/2008 12:00:00 AM,Truck Containers Full,258961,205827
US-Canada Border,02/01/2008 12:00:00 AM,Bus Passengers,236574,336649
US-Mexico Border,02/01/2008 12:00:00 AM,Truck Containers Empty,148814,144033
US-Canada Border,02/01/2008 12:00:00 AM,Rail Containers Full,109312,96771
US-Canada Border,02/01/2008 12:00:00 AM,Truck Containers Empty,93242,68912
US-Canada Border,02/01/2008 12:00:00 AM,Rail Containers Empty,43865,32774
US-Mexico Border,02/01/2008 12:00:00 AM,Rail Containers Empty,37961,26014
US-Mexico Border,02/01/2008 12:00:00 AM,Rail Containers Full,26962,21986
US-Mexico Border,02/01/2008 12:00:00 AM,Buses,20564,21826
US-Canada Border,02/01/2008 12:00:00 AM,Pedestrians,18038,56225
US-Canada Border,02/01/2008 12:00:00 AM,Train Passengers,10630,20171
US-Canada Border,02/01/2008 12:00:00 AM,Buses,8013,13496
US-Canada Border,02/01/2008 12:00:00 AM,Trains,2285,2784
US-Mexico Border,02/01/2008 12:00:00 AM,Train Passengers,1696,1345
US-Mexico Border,02/01/2008 12:00:00 AM,Trains,852,700
US-Mexico Border,01/01/2008 12:00:00 AM,Personal Vehicle Passengers,13020038,16776596
US-Mexico Border,01/01/2008 12:00:00 AM,Personal Vehicles,6613012,7141098
US-Mexico Border,01/01/2008 12:00:00 AM,Pedestrians,3876333,3874567
US-Canada Border,01/01/2008 12:00:00 AM,Personal Vehicle Passengers,3853976,6351960
US-Canada Border,01/01/2008 12:00:00 AM,Personal Vehicles,2000216,2827336
US-Canada Border,01/01/2008 12:00:00 AM,Trucks,512845,546133
US-Canada Border,01/01/2008 12:00:00 AM,Truck Containers Full,416764,402950
US-Mexico Border,01/01/2008 12:00:00 AM,Trucks,412007,358149
US-Mexico Border,01/01/2008 12:00:00 AM,Bus Passengers,303108,273327
US-Mexico Border,01/01/2008 12:00:00 AM,Truck Containers Full,255390,205482
US-Canada Border,01/01/2008 12:00:00 AM,Bus Passengers,225933,337417
US-Mexico Border,01/01/2008 12:00:00 AM,Truck Containers Empty,150382,143988
US-Canada Border,01/01/2008 12:00:00 AM,Rail Containers Full,111471,96668
US-Canada Border,01/01/2008 12:00:00 AM,Truck Containers Empty,93335,68742
US-Canada Border,01/01/2008 12:00:00 AM,Rail Containers Empty,48289,32666
US-Mexico Border,01/01/2008 12:00:00 AM,Rail Containers Empty,36014,25944
US-Mexico Border,01/01/2008 12:00:00 AM,Rail Containers Full,24097,21971
US-Mexico Border,01/01/2008 12:00:00 AM,Buses,22414,21821
US-Canada Border,01/01/2008 12:00:00 AM,Pedestrians,18055,56490
US-Canada Border,01/01/2008 12:00:00 AM,Train Passengers,11599,20230
US-Canada Border,01/01/2008 12:00:00 AM,Buses,7959,13534
US-Canada Border,01/01/2008 12:00:00 AM,Trains,2452,2786
US-Mexico Border,01/01/2008 12:00:00 AM,Train Passengers,1500,1343
US-Mexico Border,01/01/2008 12:00:00 AM,Trains,832,699
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,16791927
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,7141577
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,3868172
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,6365710
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,2831891
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,546913
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,272713
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,358138
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,403311
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,337995
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,205351
